Country Name,Country Code,Indicator Name,Indicator Code,1970,1980,1990,2000,2010,2016,2017
Armenia,ARM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,
American Samoa,ASM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,
American Samoa,ASM,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,
American Samoa,ASM,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
American Samoa,ASM,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
American Samoa,ASM,"Trademark applications, total",IP.TMK.TOTL,,,,,,,
American Samoa,ASM,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,
American Samoa,ASM,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,
American Samoa,ASM,"Patent applications, residents",IP.PAT.RESD,,,,,,,
American Samoa,ASM,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,
American Samoa,ASM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,
American Samoa,ASM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,
American Samoa,ASM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,
American Samoa,ASM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,
Antigua and Barbuda,ATG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,0.09239115756,,,
Antigua and Barbuda,ATG,High-technology exports (current US$),TX.VAL.TECH.CD,,,,1813,,,
Antigua and Barbuda,ATG,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Antigua and Barbuda,ATG,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Antigua and Barbuda,ATG,"Trademark applications, total",IP.TMK.TOTL,,,,622,643,860,
Antigua and Barbuda,ATG,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,1,
Antigua and Barbuda,ATG,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,622,643,675,
Antigua and Barbuda,ATG,"Patent applications, residents",IP.PAT.RESD,,,,,,,
Antigua and Barbuda,ATG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,12,
Antigua and Barbuda,ATG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,2.2,7.8,
Antigua and Barbuda,ATG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,
Antigua and Barbuda,ATG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,
Antigua and Barbuda,ATG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,288888.8889,1200365.556,3425505.981,
Australia,AUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,8.069528624,15.35994465,11.86682435,14.78155861,
Australia,AUS,High-technology exports (current US$),TX.VAL.TECH.CD,,,675284627,2758523559,3916557449,4572080828,
Australia,AUS,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Australia,AUS,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,3454.25933,4530.72782,,
Australia,AUS,"Trademark applications, total",IP.TMK.TOTL,,13567,22015,42890,58913,72301,
Australia,AUS,"Trademark applications, direct resident",IP.TMK.RESD,,7997,12826,27301,39641,47059,
Australia,AUS,"Trademark applications, direct nonresident",IP.TMK.NRES,,5570,9189,15589,19272,25242,
Australia,AUS,"Patent applications, residents",IP.PAT.RESD,3984,6582,,1928,2409,2620,
Australia,AUS,"Patent applications, nonresidents",IP.PAT.NRES,12459,9354,,20073,22478,25774,
Australia,AUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,41564.9,51068.2,
Australia,AUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,1.57596,2.37808,,
Australia,AUS,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,162330634.6,394187702.9,978059795.2,820885409.2,955263403.2
Australia,AUS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,825954292.2,1160197303,3423557729,3317538643,3313271833
Austria,AUT,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,7.872959217,14.5978167,11.90557539,17.57476478,
Austria,AUT,High-technology exports (current US$),TX.VAL.TECH.CD,,,2891238329,7359867511,13721385414,21001937581,
Austria,AUT,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Austria,AUT,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,4359.02777,,
Austria,AUT,"Trademark applications, total",IP.TMK.TOTL,2912,6590,17154,20665,10162,8179,
Austria,AUT,"Trademark applications, direct resident",IP.TMK.RESD,1595,4194,3788,7840,5913,5122,
Austria,AUT,"Trademark applications, direct nonresident",IP.TMK.NRES,1317,2396,13366,12825,4249,3057,
Austria,AUT,"Patent applications, residents",IP.PAT.RESD,2267,2327,2025,1961,2424,2078,
Austria,AUT,"Patent applications, nonresidents",IP.PAT.NRES,9519,4166,670,340,249,237,
Austria,AUT,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,11214.8,12366.4,
Austria,AUT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,1.89139,2.73439,,
Austria,AUT,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,926081785.4,1076018442,1202780602
Austria,AUT,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,1611217213,1372180842,1658878447
Azerbaijan,AZE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,4.589822663,1.083928988,2.083501084,
Azerbaijan,AZE,High-technology exports (current US$),TX.VAL.TECH.CD,,,,6170398,5712075,9132464,
Azerbaijan,AZE,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Azerbaijan,AZE,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Azerbaijan,AZE,"Trademark applications, total",IP.TMK.TOTL,,,,1930,4412,4692,
Azerbaijan,AZE,"Trademark applications, direct resident",IP.TMK.RESD,,,,,1532,1030,
Azerbaijan,AZE,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,1930,2880,3662,
Azerbaijan,AZE,"Patent applications, residents",IP.PAT.RESD,,,,,254,144,
Azerbaijan,AZE,"Patent applications, nonresidents",IP.PAT.NRES,,,,,17,19,
Azerbaijan,AZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,605.3,480.3,
Azerbaijan,AZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,0.336,0.21848,,
Azerbaijan,AZE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,149000,,
Azerbaijan,AZE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,16531000,,
